	time	count	temp_real	temp_feel_like	humidity_percent	wind_speed_KPH	weather	is_holiday	is_weekend	season
0	1/4/2015 0:00	182	3	2	0.93	6	Broken_Clound	0	1	Winter
1	1/4/2015 1:00	138	3	2.5	0.93	5	Clear	0	1	Winter
2	1/4/2015 2:00	134	2.5	2.5	0.965	0	Clear	0	1	Winter
3	1/4/2015 3:00	72	2	2	1	0	Clear	0	1	Winter
4	1/4/2015 4:00	47	2	0	0.93	6.5	Clear	0	1	Winter
5	1/4/2015 5:00	46	2	2	0.93	4	Clear	0	1	Winter
6	1/4/2015 6:00	51	1	-1	1	7	Cloudy	0	1	Winter
7	1/4/2015 7:00	75	1	-1	1	7	Cloudy	0	1	Winter
8	1/4/2015 8:00	131	1.5	-1	0.965	8	Cloudy	0	1	Winter
9	1/4/2015 9:00	301	2	-0.5	1	9	Broken_Clound	0	1	Winter
10	1/4/2015 10:00	528	3	-0.5	0.93	12	Broken_Clound	0	1	Winter
11	1/4/2015 11:00	727	2	-1.5	1	12	Broken_Clound	0	1	Winter
12	1/4/2015 12:00	862	2	-1.5	0.965	13	Cloudy	0	1	Winter
13	1/4/2015 13:00	916	3	-0.5	0.87	15	Broken_Clound	0	1	Winter
14	1/4/2015 14:00	1039	2.5	0	0.9	8	Broken_Clound	0	1	Winter
15	1/4/2015 15:00	869	2	-1.5	0.93	11	Broken_Clound	0	1	Winter
16	1/4/2015 16:00	737	3	0	0.93	12	Broken_Clound	0	1	Winter
17	1/4/2015 17:00	594	3	0	0.93	11	Broken_Clound	0	1	Winter
18	1/4/2015 18:00	522	3	1.5	0.93	6.5	Broken_Clound	0	1	Winter
19	1/4/2015 19:00	379	3	1	0.93	7	Broken_Clound	0	1	Winter
20	1/4/2015 20:00	328	3	3	0.93	4	Broken_Clound	0	1	Winter
21	1/4/2015 21:00	221	3	2.5	0.93	5	Cloudy	0	1	Winter
22	1/4/2015 22:00	178	3	2	0.93	6	Cloudy	0	1	Winter
23	1/4/2015 23:00	157	4	3.5	0.87	5	Cloudy	0	1	Winter
24	1/5/2015 0:00	83	4	3	0.93	6	Cloudy	0	0	Winter
25	1/5/2015 1:00	67	4	3.5	0.93	5	Cloudy	0	0	Winter
26	1/5/2015 2:00	32	5	4	0.87	6	Cloudy	0	0	Winter
27	1/5/2015 3:00	22	6	4.5	0.84	7.5	Cloudy	0	0	Winter
28	1/5/2015 4:00	38	6.5	5	0.84	8	Cloudy	0	0	Winter
29	1/5/2015 5:00	81	6	5.5	0.87	5	Cloudy	0	0	Winter
30	1/5/2015 6:00	444	7	6.5	0.81	5	Broken_Clound	0	0	Winter
31	1/5/2015 7:00	1597	7	6	0.81	6.5	Broken_Clound	0	0	Winter
32	1/5/2015 8:00	3161	8	7.5	0.79	5	Broken_Clound	0	0	Winter
33	1/5/2015 9:00	1342	8	7	0.82	6	Broken_Clound	0	0	Winter
34	1/5/2015 10:00	568	9	8	0.845	6.5	Broken_Clound	0	0	Winter
35	1/5/2015 11:00	584	9	7.5	0.905	10	Broken_Clound	0	0	Winter
36	1/5/2015 12:00	762	10	8	0.85	11	Broken_Clound	0	0	Winter
37	1/5/2015 13:00	873	10	8.5	0.82	10	Broken_Clound	0	0	Winter
38	1/5/2015 14:00	672	10	9	0.82	9	Broken_Clound	0	0	Winter
39	1/5/2015 15:00	807	10	8.5	0.79	10	Broken_Clound	0	0	Winter
40	1/5/2015 16:00	1192	10	8.5	0.735	13	Broken_Clound	0	0	Winter
41	1/5/2015 17:00	2761	9.5	7.5	0.735	12	Broken_Clound	0	0	Winter
42	1/5/2015 18:00	2389	9.5	7.5	0.69	14	Broken_Clound	0	0	Winter
43	1/5/2015 19:00	1274	9	6.5	0.71	14	Broken_Clound	0	0	Winter
44	1/5/2015 20:00	696	9	7	0.71	14	Broken_Clound	0	0	Winter
45	1/5/2015 21:00	411	9	7	0.71	11	Broken_Clound	0	0	Winter
